Id;X;Y;Surface;Altitude;Type;Maladie;Date
1947;55,30196138;-21,05493358;768,513128;746,7592756;NA;NA;NA
1948;55,54237921;-21,28292318;7002,064918;735,5332529;Officiel;1;19/03/2019
1951;55,59443464;-21,35552367;1147,826439;348,4363466;NA;NA;NA
1952;55,59454665;-21,35611531;1323,012784;339,5505733;NA;NA;NA
1957;55,34914268;-21,21242517;34090,00158;832,9378543;Officiel;0;17/09/2019
1959;55,54298325;-21,02362217;3293,621981;442,4267966;Officiel;0;20/08/2019
1966;55,50765315;-21,05509882;833,1829684;873,267985;NA;NA;NA
1967;55,52670892;-21,05070691;1377,911344;694,1142748;Mixte;0;26/06/2018
1969;55,54235158;-21,0305773;1655,220912;548,0631453;Officiel;0;27/03/2018
1970;55,54227379;-21,02963725;3255,899396;536,7506632;Officiel;0;27/03/2018
1971;55,54265737;-21,02979796;1747,918831;548,0657453;Officiel;0;27/03/2018
1972;55,54275466;-21,02933589;602,8476604;535,9565805;Officiel;0;27/03/2018
1977;55,5184549;-21,23091953;1709,113634;994,1248136;Officiel;0;28/08/2018
1979;55,5137537;-21,23230625;1571,263882;926,5163097;NA;NA;NA
1980;55,51327173;-21,23295835;2904,718054;914,8764905;NA;NA;NA
1981;55,51500606;-21,23595564;1360,920749;915,4415985;NA;NA;NA
1982;55,51422215;-21,23688512;2129,356435;896,0917384;NA;NA;NA
1983;55,51518112;-21,23665426;2700,720776;913,1536637;NA;NA;NA
1990;55,52706182;-21,24994792;1307,049508;852,2446097;NA;NA;NA
1991;55,5194542;-21,25077881;7040,529322;803,4757227;Officiel;0;18/09/2018
1992;55,51885938;-21,25140131;5889,721856;793,7008266;NA;NA;NA
1994;55,51789016;-21,25038263;340,7093189;804,3438416;NA;NA;NA
1997;55,50921794;-21,24012599;2283,631392;825,0484943;Officiel;0;28/08/2018
1998;55,50433463;-21,24069126;3157,1559;762,2036698;NA;NA;NA
2003;55,56209245;-21,27526478;1249,474947;1054,413872;Officiel;0;18/09/2018
2012;55,50654709;-21,05336713;3046,361837;814,5827727;Officiel;0;29/05/2018
2013;55,50687562;-21,0538154;1170,876929;834,0635819;Mixte;0;29/05/2018
2014;55,50730776;-21,05468129;750,2539685;869,7873733;Officiel;0;29/05/2018
2016;55,54684627;-21,21169674;3719,21519;1336,096752;Officiel;0;28/08/2018
2017;55,5479236;-21,21110788;3728,959825;1344,87648;Mixte;0;28/08/2018
2018;55,54862273;-21,21163546;3017,273936;1344,772362;Officiel;0;28/08/2018
2020;55,54744123;-21,21190176;1142,602114;1337,229729;Mixte;0;28/08/2018
2022;55,54492328;-21,25395639;858,68097;920,1006809;NA;NA;NA
2024;55,51362151;-21,02872348;2179,789771;817,063348;Officiel;0;30/04/2018
2025;55,5084339;-21,03048046;2398,165518;868,1287528;Officiel;0;20/08/2019
2029;55,51429835;-21,23099308;1551,807564;956,7155586;Officiel;0;21/05/2019
2030;55,59873198;-21,33575303;3382,55965;684,6124725;Officiel;0;19/03/2019
2032;55,59551336;-21,35196812;4513,952877;425,0491692;NA;NA;NA
2033;55,59898173;-21,33636486;1218,011655;669,4805997;Officiel;0;19/03/2019
2035;55,80167544;-21,15201425;4757,317544;202,5911428;Officiel;0;19/03/2019
2036;55,558786;-21,28161001;4476,511285;967,3421172;Officiel;0;21/05/2019
2037;55,55909185;-21,28255158;4952,596636;977,1283394;Officiel;0;28/08/2018
2038;55,71956398;-21,36064329;1992,037794;120,9291821;NA;NA;NA
2047;55,52428913;-21,22204255;857,3012731;1093,975567;Officiel;0;19/02/2019
2049;55,52184868;-21,22213317;965,1322889;1072,513136;Officiel;0;18/09/2018
2050;55,52388985;-21,22665014;1272,350537;1096,824185;Officiel;0;18/09/2018
2051;55,31709957;-21,0246621;11506,49999;662,4668007;Mixte;0;31/07/2018
2052;55,4983702;-21,05368521;4223,445023;742,3372212;Officiel;0;03/09/2019
2053;55,4424938;-21,23443159;2985,938655;689,6883668;Officiel;0;06/08/2019
2054;55,47441074;-21,23347597;5753,449809;478,0774062;Mixte;1;01/01/2017
2055;55,52030415;-21,23629104;436,9990182;950,8215061;NA;NA;NA
2056;55,32161227;-21,23635209;6252,230415;180,4728291;Officiel;0;31/07/2018
2057;55,60984281;-21,3401816;4747,17024;560,8568118;NA;NA;NA
2058;55,35018249;-21,00827084;2592,464863;931,6732959;NA;NA;NA
2061;55,53217096;-21,04295682;212,2185676;650,6651747;Officiel;0;29/05/2018
2063;55,53365737;-21,05194037;2055,183099;732,7142376;Mixte;0;21/05/2019
2064;55,53505424;-21,05156805;987,5324446;743,3675267;Officiel;0;21/05/2019
2067;55,54087041;-21,29101385;3976,983121;660,326951;Mixte;1;22/01/2019
2068;55,5277567;-21,2313766;253,0030074;1054,460804;NA;NA;NA
2070;55,55972129;-21,27970493;2670,087051;996,8745006;Officiel;0;28/08/2018
2071;55,55977186;-21,28030745;9496,394434;988,7975309;Officiel;0;28/08/2018
2072;55,27772372;-21,09546133;14267,82337;509,6454324;NA;NA;NA
2073;55,52060834;-21,03644694;1809,264985;738,9182169;Officiel;0;21/05/2019
2074;55,52129612;-21,0360735;1476,900028;726,2754143;Officiel;0;21/05/2019
2075;55,52039498;-21,03729823;556,2498447;750,7790621;Officiel;0;21/05/2019
2078;55,56845629;-21,30707559;3673,09164;901,6707085;NA;NA;NA
2079;55,5672656;-21,30747866;9078,960271;874,7207528;NA;NA;NA
2080;55,70367342;-21,34601956;9722,846511;489,5264762;Officiel;0;19/03/2019
2081;55,53976926;-21,22637675;1800,01756;1185,702455;NA;NA;NA
2082;55,43131381;-21,25007972;10323,82445;347,916939;NA;NA;NA
2086;55,68649233;-21,06280884;2751,900933;177,3104486;NA;NA;NA
2087;55,68744252;-21,06071826;9798,589194;151,0692397;NA;NA;NA
2088;55,68602235;-21,06260828;8241,639206;196,1157278;Mixte;1;01/01/2017
2089;55,68546517;-21,06211957;4547,806571;183,5021169;NA;NA;NA
2093;55,54599987;-21,30184568;1359,60135;705,2250894;Officiel;0;19/02/2019
2095;55,31644586;-21,07257933;4396,140827;947,878311;Officiel;0;21/05/2019
2096;55,50150531;-21,24524601;1741,264036;699,1329884;Mixte;1;18/09/2018
2098;55,58925401;-20,9753391;3604,823579;582,6881639;Officiel;0;26/06/2018
2101;55,37679524;-21,22854945;2223,598548;706,170983;Officiel;0;25/06/2019
2102;55,70206336;-21,34493343;9000,256392;510,7783967;Mixte;1;19/03/2019
2104;55,29347536;-21,04359749;4079,926081;562,3933674;Officiel;0;31/07/2018
2105;55,60832063;-21,32870372;9548,592101;650,3088704;Officiel;1;19/03/2019
2106;55,53250792;-21,238561;1613,044997;992,6434043;Officiel;0;18/09/2018
2112;55,47968251;-21,26539969;986,5722852;370,8024146;Officiel;1;22/01/2019
